lesion_size_bin,lesion_size_bin_label,lesion_voxel_range,model_architecture,training_condition,evaluation_condition,n_folds,total_subjects,mean_fold_mean_dice,std_fold_mean_dice,mean_fold_failure_rate_dice_lt_0_1,std_fold_failure_rate_dice_lt_0_1,mean_fold_strong_rate_dice_ge_0_7,std_fold_strong_rate_dice_ge_0_7
3,"[5290, 36236)","[5290, 36236)",UXNet,Standard,artifact,5,163,0.52289546,0.04953000792,0.09147727273,0.04232265977,0.3369318182,0.1052839529
3,"[5290, 36236)","[5290, 36236)",UXNet,Standard,clean,5,163,0.5781663996,0.04982653229,0.06704545455,0.04015151515,0.4289772727,0.1102005851
4,"[36236, 496656]","[36236, 496656]",Base CNN,Augmented,artifact,5,164,0.7049281319,0.00996609337,0.01818181818,0.01484539238,0.7009469697,0.05373049649
4,"[36236, 496656]","[36236, 496656]",Base CNN,Augmented,clean,5,164,0.7372070908,0.01136211555,0.01212121212,0.01484539238,0.7619318182,0.03720807709
4,"[36236, 496656]","[36236, 496656]",Base CNN,Standard,artifact,5,164,0.7051724239,0.02229309966,0.01212121212,0.01484539238,0.7134469697,0.05593890352
4,"[36236, 496656]","[36236, 496656]",Base CNN,Standard,clean,5,164,0.742467858,0.01445764627,0.006060606061,0.01212121212,0.7558712121,0.044175502
4,"[36236, 496656]","[36236, 496656]",MedNeXt,Augmented,artifact,5,164,0.735970398,0.02931478598,0.02424242424,0.01212121212,0.75,0.07009111216
4,"[36236, 496656]","[36236, 496656]",MedNeXt,Augmented,clean,5,164,0.7687412287,0.01658111523,0.01212121212,0.01484539238,0.8045454545,0.05079713519
4,"[36236, 496656]","[36236, 496656]",MedNeXt,Standard,artifact,5,164,0.7319913198,0.02301180044,0.01212121212,0.01484539238,0.7134469697,0.04074215378
4,"[36236, 496656]","[36236, 496656]",MedNeXt,Standard,clean,5,164,0.7687798695,0.0128754229,0.006060606061,0.01212121212,0.7988636364,0.03031249852
4,"[36236, 496656]","[36236, 496656]",Swin UNETR,Augmented,artifact,5,164,0.7348305262,0.03094230298,0.02424242424,0.02267671143,0.75,0.02247332875
4,"[36236, 496656]","[36236, 496656]",Swin UNETR,Augmented,clean,5,164,0.7569902256,0.02198086421,0.01818181818,0.02424242424,0.7988636364,0.02348484848
4,"[36236, 496656]","[36236, 496656]",Swin UNETR,Standard,artifact,5,164,0.7030456195,0.02644671471,0.02424242424,0.02267671143,0.6768939394,0.05892069502
4,"[36236, 496656]","[36236, 496656]",Swin UNETR,Standard,clean,5,164,0.7398007595,0.02231226332,0.01212121212,0.01484539238,0.7435606061,0.03395596187
4,"[36236, 496656]","[36236, 496656]",UXNet,Augmented,artifact,5,164,0.7081761208,0.02879096341,0.0303030303,0.01916531915,0.6952651515,0.03711541389
4,"[36236, 496656]","[36236, 496656]",UXNet,Augmented,clean,5,164,0.7321098633,0.02878560539,0.01818181818,0.01484539238,0.7683712121,0.03579294925
4,"[36236, 496656]","[36236, 496656]",UXNet,Standard,artifact,5,164,0.6958646683,0.01045957079,0.03636363636,0.04453617714,0.6460227273,0.05824102299
