lesion_size_bin,lesion_size_bin_label,lesion_voxel_range,model_architecture,training_condition,evaluation_condition,n_subjects,mean_dice,median_dice,std_dice,iqr_dice,failure_rate_dice_lt_0_1,strong_rate_dice_ge_0_7,mean_precision,mean_recall,mean_volume_similarity
4,"[36236, 496656]","[36236, 496656]",Base CNN,Standard,artifact,164,0.705007888,0.7672185657,0.1873704511,0.1541166133,0.01219512195,0.7134146341,0.8011603443,0.6735922012,
4,"[36236, 496656]","[36236, 496656]",Base CNN,Standard,clean,164,0.7424143532,0.7944596461,0.1714206813,0.1231043338,0.006097560976,0.756097561,0.8189690758,0.7222136068,
4,"[36236, 496656]","[36236, 496656]",MedNeXt,Augmented,artifact,164,0.7357114543,0.8007803612,0.1877623555,0.1494682267,0.0243902439,0.75,0.8302368515,0.7038184045,
4,"[36236, 496656]","[36236, 496656]",MedNeXt,Augmented,clean,164,0.7685718409,0.8108725392,0.157734749,0.1337469954,0.01219512195,0.8048780488,0.8474680049,0.741718272,
4,"[36236, 496656]","[36236, 496656]",MedNeXt,Standard,artifact,164,0.7317986737,0.7796941517,0.1659151171,0.1834356192,0.01219512195,0.7134146341,0.8403405978,0.6886929489,
4,"[36236, 496656]","[36236, 496656]",MedNeXt,Standard,clean,164,0.768641519,0.8139522312,0.1496448459,0.1423076729,0.006097560976,0.7987804878,0.8591929465,0.7331709685,
4,"[36236, 496656]","[36236, 496656]",Swin UNETR,Augmented,artifact,164,0.7345471385,0.8007156659,0.1967204345,0.1569285598,0.0243902439,0.75,0.8309199371,0.708581487,
4,"[36236, 496656]","[36236, 496656]",Swin UNETR,Augmented,clean,164,0.7567929912,0.8194842388,0.180318785,0.129602299,0.01829268293,0.7987804878,0.8382992657,0.7353408579,
4,"[36236, 496656]","[36236, 496656]",Swin UNETR,Standard,artifact,164,0.702893624,0.7738108096,0.1968831567,0.1985558229,0.0243902439,0.6768292683,0.8334437354,0.6565807663,
4,"[36236, 496656]","[36236, 496656]",Swin UNETR,Standard,clean,164,0.7397234395,0.8026499202,0.1786446837,0.1549060358,0.01219512195,0.743902439,0.8581867813,0.6947480768,
4,"[36236, 496656]","[36236, 496656]",UXNet,Augmented,artifact,164,0.7078740222,0.7794850063,0.2125725569,0.1823032147,0.03048780488,0.6951219512,0.8183299281,0.6854450322,
4,"[36236, 496656]","[36236, 496656]",UXNet,Augmented,clean,164,0.7318186237,0.8033388779,0.2044067607,0.1631390957,0.01829268293,0.7682926829,0.8419680626,0.7066413608,
4,"[36236, 496656]","[36236, 496656]",UXNet,Standard,artifact,164,0.6958105923,0.7740029016,0.2180522459,0.2683367407,0.03658536585,0.6463414634,0.8299917862,0.6560676762,
4,"[36236, 496656]","[36236, 496656]",UXNet,Standard,clean,164,0.7257818821,0.7964582001,0.2051515216,0.1939137562,0.0243902439,0.737804878,0.8592274254,0.6803166271,
