architecture,training_condition,contrast,motion_acquisition,endpoint,endpoint_family,n_subjects,n_fold_predictions,mean_standard,mean_motion,mean_delta_motion_minus_standard,median_delta_motion_minus_standard,bootstrap_ci95_low,bootstrap_ci95_high,wilcoxon_p,effect_size_subject_average_paired_cohens_dz,holm_family,source_mrart_csv,wilcoxon_p_holm
swin_unetr,augmented,headmotion1_minus_standard,headmotion1,scan_positive,secondary,140,700,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,mrart_motion_scan_positive,scripts/supporting_experiments/mrart_hallucination/server_reports/20260703_mrart_paper_stats/fold_lcc_stats/mrart_fold_lcc_stats_long.csv,1.0
swin_unetr,augmented,headmotion2_minus_standard,headmotion2,predicted_lesion_volume_ml,primary,140,700,114.07256571428572,128.77029142857143,14.697725714285713,13.785499999999999,12.225608535714287,17.222365928571424,2.00313783374381e-18,0.9824437656233705,mrart_motion_predicted_lesion_volume_ml,scripts/supporting_experiments/mrart_hallucination/server_reports/20260703_mrart_paper_stats/fold_lcc_stats/mrart_fold_lcc_stats_long.csv,1.201882700246286e-17
swin_unetr,augmented,headmotion2_minus_standard,headmotion2,largest_cc_volume_ml,primary,140,700,52.426170000000006,57.65737428571428,5.231204285714286,6.0685,3.6048358571428567,6.789775428571428,5.810285356480381e-09,0.5364006613835224,mrart_motion_largest_cc_volume_ml,scripts/supporting_experiments/mrart_hallucination/server_reports/20260703_mrart_paper_stats/fold_lcc_stats/mrart_fold_lcc_stats_long.csv,1.7430856069441144e-08
swin_unetr,augmented,headmotion2_minus_standard,headmotion2,connected_component_count_26conn,primary,140,700,189.95285714285714,229.37571428571428,39.42285714285714,32.0,34.652750000000005,44.532999999999994,1.2007462608919746e-24,1.3162501027703704,mrart_motion_connected_component_count_26conn,scripts/supporting_experiments/mrart_hallucination/server_reports/20260703_mrart_paper_stats/fold_lcc_stats/mrart_fold_lcc_stats_long.csv,9.605970087135797e-24
swin_unetr,augmented,headmotion2_minus_standard,headmotion2,largest_cc_fraction_of_prediction,primary,140,700,0.4506959096654285,0.4428553714907142,-0.007840538174714288,-0.0020923430500000284,-0.016518328135360714,0.0012870142987928572,0.153599756478634,-0.14380661379727624,mrart_motion_largest_cc_fraction_of_prediction,scripts/supporting_experiments/mrart_hallucination/server_reports/20260703_mrart_paper_stats/fold_lcc_stats/mrart_fold_lcc_stats_long.csv,0.307199512957268
swin_unetr,augmented,headmotion2_minus_standard,headmotion2,scan_positive,secondary,140,700,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,mrart_motion_scan_positive,scripts/supporting_experiments/mrart_hallucination/server_reports/20260703_mrart_paper_stats/fold_lcc_stats/mrart_fold_lcc_stats_long.csv,1.0
swin_unetr,standard,headmotion1_minus_standard,headmotion1,predicted_lesion_volume_ml,primary,140,700,69.11424428571428,77.60364,8.489395714285715,6.02,6.698676535714286,10.425543142857144,5.264957942531674e-17,0.7486541766996309,mrart_motion_predicted_lesion_volume_ml,scripts/supporting_experiments/mrart_hallucination/server_reports/20260703_mrart_paper_stats/fold_lcc_stats/mrart_fold_lcc_stats_long.csv,2.632478971265837e-16
swin_unetr,standard,headmotion1_minus_standard,headmotion1,largest_cc_volume_ml,primary,140,700,27.439615714285715,31.905955714285717,4.46634,2.5625,3.3599080714285714,5.60167082142857,2.683743321879447e-13,0.6555714646479117,mrart_motion_largest_cc_volume_ml,scripts/supporting_experiments/mrart_hallucination/server_reports/20260703_mrart_paper_stats/fold_lcc_stats/mrart_fold_lcc_stats_long.csv,1.610245993127668e-12
swin_unetr,standard,headmotion1_minus_standard,headmotion1,connected_component_count_26conn,primary,140,700,200.20142857142858,229.09714285714287,28.895714285714284,22.0,23.55707142857143,34.64007142857143,1.1997056726147338e-20,0.8472235553786186,mrart_motion_connected_component_count_26conn,scripts/supporting_experiments/mrart_hallucination/server_reports/20260703_mrart_paper_stats/fold_lcc_stats/mrart_fold_lcc_stats_long.csv,7.198234035688403e-20
swin_unetr,standard,headmotion1_minus_standard,headmotion1,largest_cc_fraction_of_prediction,primary,140,700,0.4070148824252858,0.422487949679,0.015473067253714282,0.007795026350000012,0.006969455180871427,0.02417408562598214,0.0005675131770743699,0.2979017260048849,mrart_motion_largest_cc_fraction_of_prediction,scripts/supporting_experiments/mrart_hallucination/server_reports/20260703_mrart_paper_stats/fold_lcc_stats/mrart_fold_lcc_stats_long.csv,0.0028375658853718494
swin_unetr,standard,headmotion1_minus_standard,headmotion1,scan_positive,secondary,140,700,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,mrart_motion_scan_positive,scripts/supporting_experiments/mrart_hallucination/server_reports/20260703_mrart_paper_stats/fold_lcc_stats/mrart_fold_lcc_stats_long.csv,1.0
swin_unetr,standard,headmotion2_minus_standard,headmotion2,predicted_lesion_volume_ml,primary,140,700,69.11424428571428,85.18088142857142,16.066637142857143,13.4355,14.101768857142856,18.180305857142855,1.5407113797232015e-23,1.2977433760580082,mrart_motion_predicted_lesion_volume_ml,scripts/supporting_experiments/mrart_hallucination/server_reports/20260703_mrart_paper_stats/fold_lcc_stats/mrart_fold_lcc_stats_long.csv,1.2325691037785612e-22
swin_unetr,standard,headmotion2_minus_standard,headmotion2,largest_cc_volume_ml,primary,140,700,27.439615714285715,35.37255142857143,7.932935714285715,5.8045,6.572009321428572,9.365880964285715,1.5666649976579845e-19,0.952321259200261,mrart_motion_largest_cc_volume_ml,scripts/supporting_experiments/mrart_hallucination/server_reports/20260703_mrart_paper_stats/fold_lcc_stats/mrart_fold_lcc_stats_long.csv,1.2533319981263876e-18
swin_unetr,standard,headmotion2_minus_standard,headmotion2,connected_component_count_26conn,primary,140,700,200.20142857142858,252.85285714285715,52.651428571428575,47.0,46.33421428571428,59.42596428571428,1.457066139255249e-24,1.325194372411049,mrart_motion_connected_component_count_26conn,scripts/supporting_experiments/mrart_hallucination/server_reports/20260703_mrart_paper_stats/fold_lcc_stats/mrart_fold_lcc_stats_long.csv,1.0199462974786743e-23
swin_unetr,standard,headmotion2_minus_standard,headmotion2,largest_cc_fraction_of_prediction,primary,140,700,0.4070148824252858,0.42242460365428575,0.015409721229,0.004364647599999993,0.005136685128432144,0.025962690406871426,0.0063116075541744966,0.24352877905821207,mrart_motion_largest_cc_fraction_of_prediction,scripts/supporting_experiments/mrart_hallucination/server_reports/20260703_mrart_paper_stats/fold_lcc_stats/mrart_fold_lcc_stats_long.csv,0.025246430216697986
swin_unetr,standard,headmotion2_minus_standard,headmotion2,scan_positive,secondary,140,700,1.0,1.0,0.0,0.0,0.0,0.0,1.0,,mrart_motion_scan_positive,scripts/supporting_experiments/mrart_hallucination/server_reports/20260703_mrart_paper_stats/fold_lcc_stats/mrart_fold_lcc_stats_long.csv,1.0
