architecture,training_condition,evaluation_condition,lesion_size_bin,lesion_size_bin_label,lesion_voxel_range,n,mean_dice,median_dice,iqr_dice,catastrophic_failure_rate_dice_lt_0_1,strong_performance_rate_dice_ge_0_7,mean_precision,mean_recall,median_predicted_voxel_count,median_ground_truth_voxel_count,source_metric_files
MedNeXt,Standard,artifact,1,"[13, 1159)","[13, 1159)",163,0.2776173967735286,0.11369509272947004,0.5565424577890052,0.49693251533742333,0.1656441717791411,0.46177483267243014,0.3542192257508194,451.0,509.0,runs/mednext/run_kfold_01/eval_local/test_augmented_metrics.json;runs/mednext/run_kfold_02/eval_local/test_augmented_metrics.json;runs/mednext/run_kfold_03/eval_local/test_augmented_metrics.json;runs/mednext/run_kfold_04/eval_local/test_augmented_metrics.json;runs/mednext/run_kfold_05/eval_local/test_augmented_metrics.json
MedNeXt,Standard,artifact,2,"[1159, 5290)","[1159, 5290)",163,0.42274528466596095,0.4467675379788811,0.4878504923385816,0.17791411042944785,0.19631901840490798,0.5281153285363487,0.45901280600425814,2135.0,2492.0,runs/mednext/run_kfold_01/eval_local/test_augmented_metrics.json;runs/mednext/run_kfold_02/eval_local/test_augmented_metrics.json;runs/mednext/run_kfold_03/eval_local/test_augmented_metrics.json;runs/mednext/run_kfold_04/eval_local/test_augmented_metrics.json;runs/mednext/run_kfold_05/eval_local/test_augmented_metrics.json
MedNeXt,Standard,artifact,3,"[5290, 36236)","[5290, 36236)",163,0.5352693557524275,0.6152238806161581,0.3805032419806885,0.10429447852760736,0.3496932515337423,0.6768788925959557,0.5095279543535469,9186.0,12541.0,runs/mednext/run_kfold_01/eval_local/test_augmented_metrics.json;runs/mednext/run_kfold_02/eval_local/test_augmented_metrics.json;runs/mednext/run_kfold_03/eval_local/test_augmented_metrics.json;runs/mednext/run_kfold_04/eval_local/test_augmented_metrics.json;runs/mednext/run_kfold_05/eval_local/test_augmented_metrics.json
MedNeXt,Standard,artifact,4,"[36236, 496656]","[36236, 496656]",164,0.7317986736881609,0.7796941516695746,0.1834356192992821,0.012195121951219513,0.7134146341463414,0.8403405977592797,0.6886929489200697,78428.0,84688.0,runs/mednext/run_kfold_01/eval_local/test_augmented_metrics.json;runs/mednext/run_kfold_02/eval_local/test_augmented_metrics.json;runs/mednext/run_kfold_03/eval_local/test_augmented_metrics.json;runs/mednext/run_kfold_04/eval_local/test_augmented_metrics.json;runs/mednext/run_kfold_05/eval_local/test_augmented_metrics.json
MedNeXt,Standard,clean,1,"[13, 1159)","[13, 1159)",163,0.3209695156231574,0.2408376969975238,0.6567895773290623,0.4539877300613497,0.2085889570552147,0.570522505260076,0.3922729068191837,372.0,509.0,runs/mednext/run_kfold_01/eval_local/test_clean_metrics.json;runs/mednext/run_kfold_02/eval_local/test_clean_metrics.json;runs/mednext/run_kfold_03/eval_local/test_clean_metrics.json;runs/mednext/run_kfold_04/eval_local/test_clean_metrics.json;runs/mednext/run_kfold_05/eval_local/test_clean_metrics.json
MedNeXt,Standard,clean,2,"[1159, 5290)","[1159, 5290)",163,0.46926432880531305,0.49722119322074065,0.48129985655459917,0.13496932515337423,0.24539877300613497,0.5984602149718236,0.505883729021948,2038.0,2492.0,runs/mednext/run_kfold_01/eval_local/test_clean_metrics.json;runs/mednext/run_kfold_02/eval_local/test_clean_metrics.json;runs/mednext/run_kfold_03/eval_local/test_clean_metrics.json;runs/mednext/run_kfold_04/eval_local/test_clean_metrics.json;runs/mednext/run_kfold_05/eval_local/test_clean_metrics.json
MedNeXt,Standard,clean,3,"[5290, 36236)","[5290, 36236)",163,0.5825598225638061,0.6556143445234794,0.3636529175531189,0.06134969325153374,0.4662576687116564,0.7118392178394162,0.5625231957554342,9710.0,12541.0,runs/mednext/run_kfold_01/eval_local/test_clean_metrics.json;runs/mednext/run_kfold_02/eval_local/test_clean_metrics.json;runs/mednext/run_kfold_03/eval_local/test_clean_metrics.json;runs/mednext/run_kfold_04/eval_local/test_clean_metrics.json;runs/mednext/run_kfold_05/eval_local/test_clean_metrics.json
MedNeXt,Standard,clean,4,"[36236, 496656]","[36236, 496656]",164,0.768641519040418,0.8139522311760615,0.14230767287040624,0.006097560975609756,0.7987804878048781,0.8591929465134576,0.7331709685184271,80359.0,84688.0,runs/mednext/run_kfold_01/eval_local/test_clean_metrics.json;runs/mednext/run_kfold_02/eval_local/test_clean_metrics.json;runs/mednext/run_kfold_03/eval_local/test_clean_metrics.json;runs/mednext/run_kfold_04/eval_local/test_clean_metrics.json;runs/mednext/run_kfold_05/eval_local/test_clean_metrics.json
Swin UNETR,Augmented,artifact,1,"[13, 1159)","[13, 1159)",163,0.2941276039726949,0.22546973021822603,0.5850694426540933,0.4723926380368098,0.12883435582822086,0.4145972083100983,0.3805450928939722,443.0,509.0,runs/swin/run_DA_kfold_01/eval_local/test_augmented_metrics.json;runs/swin/run_DA_kfold_02/eval_local/test_augmented_metrics.json;runs/swin/run_DA_kfold_03/eval_local/test_augmented_metrics.json;runs/swin/run_DA_kfold_04/eval_local/test_augmented_metrics.json;runs/swin/run_DA_kfold_05/eval_local/test_augmented_metrics.json
Swin UNETR,Augmented,artifact,2,"[1159, 5290)","[1159, 5290)",163,0.4388004437744007,0.47283582100043065,0.46657527997177206,0.17177914110429449,0.2392638036809816,0.5305266773578464,0.4756458051566552,2151.0,2492.0,runs/swin/run_DA_kfold_01/eval_local/test_augmented_metrics.json;runs/swin/run_DA_kfold_02/eval_local/test_augmented_metrics.json;runs/swin/run_DA_kfold_03/eval_local/test_augmented_metrics.json;runs/swin/run_DA_kfold_04/eval_local/test_augmented_metrics.json;runs/swin/run_DA_kfold_05/eval_local/test_augmented_metrics.json
