architecture,training_condition,evaluation_condition,lesion_size_bin,lesion_size_bin_label,lesion_voxel_range,n_folds,total_subjects,mean_fold_mean_dice,std_fold_mean_dice,mean_fold_failure_rate_dice_lt_0_1,std_fold_failure_rate_dice_lt_0_1,mean_fold_strong_rate_dice_ge_0_7,std_fold_strong_rate_dice_ge_0_7
Swin UNETR,Standard,artifact,3,"[5290, 36236)","[5290, 36236)",5,163,0.52078114335983,0.0475167727310159,0.07973484848484849,0.045976329648750945,0.2827651515151515,0.06888057347470225
Swin UNETR,Standard,artifact,4,"[36236, 496656]","[36236, 496656]",5,164,0.7030456194686182,0.029568325939103763,0.024242424242424242,0.02535333413739623,0.6768939393939395,0.06587533966889424
Swin UNETR,Standard,clean,1,"[13, 1159)","[13, 1159)",5,163,0.3296767544154851,0.08188566962255509,0.38522727272727275,0.1215785182018364,0.14734848484848487,0.08031285674583918
Swin UNETR,Standard,clean,2,"[1159, 5290)","[1159, 5290)",5,163,0.4576849093689354,0.03702861643691088,0.1534090909090909,0.04293335449443809,0.2390151515151515,0.05392158876839239
Swin UNETR,Standard,clean,3,"[5290, 36236)","[5290, 36236)",5,163,0.5683415070720599,0.05204344387110529,0.07386363636363637,0.035734777015365926,0.34375,0.08758829829209103
Swin UNETR,Standard,clean,4,"[36236, 496656]","[36236, 496656]",5,164,0.7398007595408086,0.02494586875593379,0.012121212121212121,0.016597653257732308,0.743560606060606,0.03796391948596
UXNet,Augmented,artifact,1,"[13, 1159)","[13, 1159)",5,163,0.31199112447129035,0.05624725955976137,0.42897727272727265,0.10648673189767789,0.15984848484848485,0.04133389845654728
UXNet,Augmented,artifact,2,"[1159, 5290)","[1159, 5290)",5,163,0.4207525774759005,0.05285056919360533,0.20321969696969697,0.07319163032594937,0.2085227272727273,0.070089832738791
UXNet,Augmented,artifact,3,"[5290, 36236)","[5290, 36236)",5,163,0.5384463288523565,0.0441281662776178,0.11704545454545454,0.0607708165406811,0.3736742424242424,0.07833448727243371
UXNet,Augmented,artifact,4,"[36236, 496656]","[36236, 496656]",5,164,0.7081761207901763,0.032189275660598066,0.030303030303030304,0.02142747821777417,0.6952651515151516,0.041496294240821595
UXNet,Augmented,clean,1,"[13, 1159)","[13, 1159)",5,163,0.343711687022139,0.06152243849082021,0.41060606060606053,0.11469206586530645,0.20909090909090908,0.057099210305337086
UXNet,Augmented,clean,2,"[1159, 5290)","[1159, 5290)",5,163,0.4528267630689581,0.05081460194370295,0.1662878787878788,0.06907558143376878,0.2446969696969697,0.09707617260388694
UXNet,Augmented,clean,3,"[5290, 36236)","[5290, 36236)",5,163,0.5793358077181704,0.03356333292365719,0.07367424242424243,0.027400008127055696,0.42272727272727273,0.07483637358307253
UXNet,Augmented,clean,4,"[36236, 496656]","[36236, 496656]",5,164,0.7321098632644726,0.03218328520670774,0.01818181818181818,0.016597653257732308,0.7683712121212121,0.04001773381568334
UXNet,Standard,artifact,1,"[13, 1159)","[13, 1159)",5,163,0.28198965598890685,0.0689868891883378,0.48390151515151514,0.10787144595377385,0.15416666666666667,0.07716030889682972
UXNet,Standard,artifact,2,"[1159, 5290)","[1159, 5290)",5,163,0.41511627563563624,0.08742349631035566,0.2043560606060606,0.16455543404778722,0.18409090909090908,0.06804555512532798
UXNet,Standard,artifact,3,"[5290, 36236)","[5290, 36236)",5,163,0.5228954600078753,0.05537623231413731,0.09147727272727273,0.04731817211500109,0.33693181818181817,0.11771103784162328
UXNet,Standard,artifact,4,"[36236, 496656]","[36236, 496656]",5,164,0.6958646682950946,0.011694155650415738,0.03636363636363636,0.04979295977319692,0.6460227272727274,0.065115443238279
UXNet,Standard,clean,1,"[13, 1159)","[13, 1159)",5,163,0.3420351477039576,0.06930219213048189,0.3918560606060606,0.12986680416015936,0.19734848484848486,0.09624119699049599
UXNet,Standard,clean,2,"[1159, 5290)","[1159, 5290)",5,163,0.4638145502515691,0.07758082321790881,0.14242424242424243,0.1014155471607922,0.25700757575757577,0.06010684548532313
UXNet,Standard,clean,3,"[5290, 36236)","[5290, 36236)",5,163,0.5781663996141279,0.055707756641898865,0.06704545454545455,0.04489075863920032,0.42897727272727276,0.12320799975220147
UXNet,Standard,clean,4,"[36236, 496656]","[36236, 496656]",5,164,0.7257981096557647,0.009245550826869673,0.024242424242424242,0.02535333413739623,0.7375,0.048278740423290854
